record_id,forwarder,rate_rmb_per_kg,actual_pure_first_leg_rmb,billed_weight_equivalent_kg,conditional_shipment_weight_upper_g,conditional_transport_volume_upper_cm3,baseline_first_leg_rmb,baseline_billed_weight_equivalent_kg,baseline_vs_actual_pct,record_evidence_level,weight_vs_volume_dominance,transport_volume_estimate,package_dimension_range,numeric_rule_use
CAL-0036,义乌,100,8,0.08,80.0,640.0,10,0.1,25.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0037,义乌,100,13,0.13,130.0,1040.0,26.25,0.2625,101.92,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0038,义乌,100,21,0.21,210.0,1680.0,18.25,0.1825,-13.1,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0039,义乌,100,5,0.05,50.0,400.0,6,0.06,20.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0040,义乌,100,8,0.08,80.0,640.0,16.88,0.1688,111.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0041,义乌,100,16,0.16,160.0,1280.0,6,0.06,-62.5,D,UNRESOLVED,UNRESOLVED,UNRESOLVED,HOLD
CAL-0042,义乌,100,10,0.1,100.0,800.0,4,0.04,-60.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0043,义乌,100,12,0.12,120.0,960.0,12.5,0.125,4.17,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0044,深圳,80,57,0.7125,712.5,5700.0,52,0.65,-8.77,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0045,义乌,100,14,0.14,140.0,1120.0,6.12,0.0612,-56.29,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
